,cliente_id,recommender,ndcg_score,proporcion_rock
81,Jacqueline789,top_rating_1,0.0,0.3333333333333333
82,Jacqueline789,"top_rating,listeners_1",0.0,0.6666666666666666
83,Jacqueline789,whoosh_based_1,0.0,1.0
84,Jacqueline789,surprise_based_1,0.0,0.5
85,Sushisandvich1,top_listeners_1,0.0,1.0
86,Sushisandvich1,top_rating_1,0.30260241349881345,0.3333333333333333
87,Sushisandvich1,"top_rating,listeners_1",0.13032376591037062,0.6666666666666666
88,Sushisandvich1,whoosh_based_1,0.0,1.0
89,Sushisandvich1,surprise_based_1,0.30260241349881345,0.5
90,Snowbunnyhunter,top_listeners_1,0.0,1.0
91,Snowbunnyhunter,top_rating_1,0.0,0.3333333333333333
92,Snowbunnyhunter,"top_rating,listeners_1",0.0,0.6666666666666666
93,Snowbunnyhunter,whoosh_based_1,0.0,0.0
94,Snowbunnyhunter,surprise_based_1,0.0,0.6666666666666666
95,captainyodel,top_listeners_1,0.0,1.0
96,captainyodel,top_rating_1,0.0,0.3333333333333333
97,captainyodel,"top_rating,listeners_1",0.0,0.6666666666666666
98,captainyodel,whoosh_based_1,0.0,0.3333333333333333
99,captainyodel,surprise_based_1,0.0,0.3333333333333333
100,dmciv2,top_listeners_1,0.0,1.0
101,dmciv2,top_rating_1,0.0,0.3333333333333333
102,dmciv2,"top_rating,listeners_1",0.0,0.6666666666666666
103,dmciv2,whoosh_based_1,0.0,0.0
104,dmciv2,surprise_based_1,0.0,0.5
105,pasteluniverse1,top_listeners_1,0.0,1.0
106,pasteluniverse1,top_rating_1,0.0,0.3333333333333333
107,pasteluniverse1,"top_rating,listeners_1",0.0,0.6666666666666666
108,pasteluniverse1,whoosh_based_1,0.0,0.3333333333333333
109,pasteluniverse1,surprise_based_1,0.0,0.6666666666666666
110,thewalk3r,top_listeners_1,0.0,1.0
111,thewalk3r,top_rating_1,0.0,0.3333333333333333
112,thewalk3r,"top_rating,listeners_1",0.0,0.6666666666666666
113,thewalk3r,whoosh_based_1,0.0,0.0
114,thewalk3r,surprise_based_1,0.0,0.5
115,elitescorpios,top_listeners_1,0.0,1.0
116,elitescorpios,top_rating_1,0.0,0.3333333333333333
117,elitescorpios,"top_rating,listeners_1",0.0,0.6666666666666666
118,elitescorpios,whoosh_based_1,0.0,1.0
119,elitescorpios,surprise_based_1,0.0,0.3333333333333333
120,fj-mj,top_listeners_1,0.0,1.0
121,fj-mj,top_rating_1,0.0,0.3333333333333333
122,fj-mj,"top_rating,listeners_1",0.0,0.6666666666666666
123,fj-mj,whoosh_based_1,0.0,0.0
124,fj-mj,surprise_based_1,0.0,0.5
125,oli0,top_listeners_1,0.0,1.0
126,oli0,top_rating_1,0.0,0.3333333333333333
127,oli0,"top_rating,listeners_1",0.0,0.6666666666666666
128,oli0,whoosh_based_1,0.0,0.0
129,oli0,surprise_based_1,0.0,0.5
130,H0USE-MD,top_listeners_1,0.0,1.0
131,H0USE-MD,top_rating_1,0.0,0.3333333333333333
132,H0USE-MD,"top_rating,listeners_1",0.0,0.6666666666666666
133,H0USE-MD,whoosh_based_1,0.0,1.0
134,H0USE-MD,surprise_based_1,0.0,0.5
135,Korner88,top_listeners_1,0.0,1.0
136,Korner88,top_rating_1,0.0,0.16666666666666666
137,Korner88,"top_rating,listeners_1",0.0,0.6666666666666666
138,Korner88,whoosh_based_1,0.0,1.0
139,Korner88,surprise_based_1,0.0,0.3333333333333333
140,Tis_Charmin_Man,top_listeners_1,0.0,1.0
141,Tis_Charmin_Man,top_rating_1,0.0,0.3333333333333333
142,Tis_Charmin_Man,"top_rating,listeners_1",0.0,0.6666666666666666
143,Tis_Charmin_Man,whoosh_based_1,0.0,1.0
144,Tis_Charmin_Man,surprise_based_1,0.0,0.5
145,MsFranx66,top_listeners_1,0.0,1.0
146,MsFranx66,top_rating_1,0.0,0.3333333333333333
147,MsFranx66,"top_rating,listeners_1",0.0,0.6666666666666666
148,MsFranx66,whoosh_based_1,0.0,0.3333333333333333
149,MsFranx66,surprise_based_1,0.0,0.3333333333333333
150,wgate1,top_listeners_1,0.0,1.0
151,wgate1,top_rating_1,0.0,0.3333333333333333
152,wgate1,"top_rating,listeners_1",0.0,0.6666666666666666
153,wgate1,whoosh_based_1,0.0,0.0
154,wgate1,surprise_based_1,0.0,0.5
155,NIRVANAFRIK1001,top_listeners_1,0.0,1.0
156,NIRVANAFRIK1001,top_rating_1,0.0,0.3333333333333333
